# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\Quartus Projects\qp9\qp9.csv
# Generated on: Sun Jan 19 11:07:05 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
button,Input,PIN_B8,7,B7_N0,PIN_A7,3.3-V LVTTL,,8ma,,,
button1,Input,PIN_A7,7,B7_N0,PIN_B8,3.3-V LVTTL,,,,,
clk,Input,PIN_N14,6,B6_N0,PIN_N14,3.3-V LVTTL,,,,,
hsync,Output,PIN_N3,2,B2_N0,PIN_N3,3.3-V LVTTL,,,,,
reset,Input,PIN_C10,7,B7_N0,PIN_C10,3.3-V LVTTL,,,,,
rgb[11],Output,PIN_Y1,3,B3_N0,PIN_Y1,3.3-V LVTTL,,,,,
rgb[10],Output,PIN_Y2,3,B3_N0,PIN_Y2,3.3-V LVTTL,,,,,
rgb[9],Output,PIN_V1,2,B2_N0,PIN_V1,3.3-V LVTTL,,,,,
rgb[8],Output,PIN_AA1,3,B3_N0,PIN_AA1,3.3-V LVTTL,,,,,
rgb[7],Output,PIN_R1,2,B2_N0,PIN_R1,3.3-V LVTTL,,,,,
rgb[6],Output,PIN_R2,2,B2_N0,PIN_R2,3.3-V LVTTL,,,,,
rgb[5],Output,PIN_T2,2,B2_N0,PIN_T2,3.3-V LVTTL,,,,,
rgb[4],Output,PIN_W1,2,B2_N0,PIN_W1,3.3-V LVTTL,,,,,
rgb[3],Output,PIN_N2,2,B2_N0,PIN_N2,3.3-V LVTTL,,,,,
rgb[2],Output,PIN_P4,2,B2_N0,PIN_P4,3.3-V LVTTL,,,,,
rgb[1],Output,PIN_T1,2,B2_N0,PIN_T1,3.3-V LVTTL,,,,,
rgb[0],Output,PIN_P1,2,B2_N0,PIN_P1,3.3-V LVTTL,,,,,
vsync,Output,PIN_N1,2,B2_N0,PIN_N1,3.3-V LVTTL,,,,,
